name,description
Bài học kinh doanh,"Sách chia sẻ các bài học, kinh nghiệm thực chiến, thất bại và thành công trong quá trình kinh doanh, quản lý và vận hành doanh nghiệp."
Chăm sóc sức khỏe,"Y tế nghĩa đen là chữa bệnh và cứu giúp, hay Chăm sóc sức khỏe, là việc chẩn đoán, điều trị và phòng ngừa bệnh, bệnh tật, thương tích, và suy yếu về thể chất và tinh thần khác ở người."
Cẩm nang làm cha mẹ,"Sách cung cấp kiến thức, kỹ năng, phương pháp và lời khuyên hữu ích cho các bậc phụ huynh trong hành trình nuôi dạy, chăm sóc và thấu hiểu con cái."
Giáo Trình Đại Học,"Tài liệu giảng dạy và học tập chính thức, chuyên sâu được biên soạn và sử dụng trong các trường đại học, cao đẳng và học viện."
Kiến Thức Bách Khoa,"Sách tập hợp, hệ thống hóa kiến thức tổng quát hoặc chuyên sâu về nhiều lĩnh vực khác nhau của đời sống, tự nhiên, khoa học và xã hội."
Lý Luận Chính Trị,"Sách chuyên khảo nghiên cứu về các học thuyết, hệ tư tưởng, đường lối, chính sách và các vấn đề cơ bản của chính trị học."
Lĩnh vực khác,"Các loại sách thuộc các chủ đề đa dạng, phong phú, không nằm trong các nhóm phân loại chính thường gặp."
Lập Trình,"Sách hướng dẫn kỹ thuật lập trình, tư duy thuật toán, sử dụng các ngôn ngữ lập trình và quy trình phát triển phần mềm."
Lịch Sử Thế Giới,"Sách ghi chép, tổng hợp và phân tích các sự kiện, giai đoạn, nền văn minh và nhân vật lịch sử quan trọng trên phạm vi toàn cầu."
Lịch Sử Việt Nam,"Sách về quá trình hình thành, dựng nước và giữ nước, các triều đại và biến động lịch sử của dân tộc Việt Nam qua các thời kỳ."
Mỹ Thuật,"Sách về hội họa, điêu khắc, kiến trúc, lịch sử nghệ thuật và các kỹ thuật sáng tạo trong nghệ thuật thị giác."
Nuôi dạy con,"Sách chia sẻ các phương pháp giáo dục hiện đại, kinh nghiệm thực tế giúp cha mẹ nuôi dưỡng thể chất và tinh thần cho trẻ."
Phê Bình,"Sách tập hợp các bài viết, tiểu luận, công trình nghiên cứu đánh giá, phân tích và cảm thụ các tác phẩm văn học nghệ thuật."
Sách Chiêm Tinh,"Sách nghiên cứu về vị trí, sự vận động của các thiên thể và niềm tin về ảnh hưởng của chúng đến tính cách, vận mệnh con người."
Sách Chính Trị,"Sách bàn luận về các vấn đề chính trị, thể chế nhà nước, quan hệ quốc tế, ngoại giao và các xu hướng chính trị đương đại."
Sách Công Nghệ Thông Tin,"Sách cung cấp kiến thức về phần cứng, phần mềm, mạng máy tính, khoa học dữ liệu, trí tuệ nhân tạo và công nghệ số."
Sách Danh Nhân,"Tiểu sử, hồi ký, tự truyện hoặc câu chuyện về cuộc đời, sự nghiệp và tư tưởng của những nhân vật nổi tiếng, có tầm ảnh hưởng lớn."
Sách Dinh Dưỡng,"Sách cung cấp kiến thức khoa học về thực phẩm, chế độ ăn uống lành mạnh, cân bằng và vai trò của dinh dưỡng đối với sức khỏe."
Sách Giáo Khoa,Hệ thống sách chuẩn hóa được Bộ Giáo dục quy định để sử dụng trong giảng dạy và học tập tại các trường phổ thông.
Sách Giáo Khoa Cấp 1,"Bộ sách giáo khoa dành cho học sinh tiểu học (từ lớp 1 đến lớp 5), cung cấp kiến thức nền tảng cơ bản."
Sách Giáo Khoa Cấp 2,"Bộ sách giáo khoa dành cho học sinh trung học cơ sở (từ lớp 6 đến lớp 9), mở rộng và nâng cao kiến thức phổ thông."
Sách Giáo Khoa Cấp 3,"Bộ sách giáo khoa dành cho học sinh trung học phổ thông (từ lớp 10 đến lớp 12), chuẩn bị kiến thức cho bậc đại học."
Sách Học Ngoại Ngữ,"Tài liệu, giáo trình hỗ trợ việc học tập, rèn luyện các kỹ năng nghe, nói, đọc, viết của các ngôn ngữ nước ngoài."
Sách Học Tiếng Anh,"Sách chuyên sâu để học tiếng Anh: ngữ pháp, từ vựng, giao tiếp, luyện thi các chứng chỉ quốc tế như TOEIC, IELTS, TOEFL."
Sách Học Tiếng Hoa,"Tài liệu, giáo trình hỗ trợ học tiếng Trung Quốc (Phổ thông), bao gồm chữ Hán, phiên âm Pinyin và ngữ pháp."
Sách Học Tiếng Nhật,"Tài liệu, giáo trình hỗ trợ học tiếng Nhật Bản, bao gồm bảng chữ cái, từ vựng, ngữ pháp và văn hóa Nhật."
Sách Khoa Học,"Sách phổ biến kiến thức, khám phá các nguyên lý, định luật và hiện tượng trong các ngành khoa học tự nhiên và xã hội."
Sách Kiến Thức,"Sách cung cấp thông tin, sự thật thú vị và hiểu biết sâu rộng về thế giới tự nhiên, vũ trụ và con người."
Sách Kiến Thức Tổng Hợp,"Tuyển tập các kiến thức đa dạng, phong phú từ nhiều lĩnh vực khác nhau, giúp mở rộng tầm hiểu biết chung."
Sách Lịch sử,"Sách nghiên cứu, tái hiện và kể lại quá khứ của nhân loại, một quốc gia, một vùng đất hoặc một giai đoạn cụ thể."
Sách Marketing,"Sách về tiếp thị, quảng cáo, xây dựng thương hiệu, nghiên cứu thị trường và hành vi người tiêu dùng."
Sách Nấu ăn,"Sách hướng dẫn công thức nấu ăn, kỹ thuật chế biến thực phẩm, trang trí món ăn và giới thiệu văn hóa ẩm thực."
Sách Phong Thủy,"Sách về học thuyết nghiên cứu sự ảnh hưởng của hướng gió, hướng khí, mạch nước đến đời sống họa phúc của con người."
Sách Phong Tục,"Sách giới thiệu, nghiên cứu về các tập quán, lễ nghi, tín ngưỡng và văn hóa truyền thống của các dân tộc, vùng miền."
Sách Thai Giáo,"Sách hướng dẫn các phương pháp giáo dục, chăm sóc sức khỏe và tinh thần cho thai nhi ngay từ trong bụng mẹ."
Sách Tham Khảo,"Tài liệu dùng để tra cứu, bổ sung, mở rộng và nâng cao kiến thức ngoài chương trình sách giáo khoa chính khóa."
Sách Thường Thức,"Sách cung cấp những kiến thức cơ bản, thiết thực và hữu ích trong cuộc sống hàng ngày (y học, luật pháp, mẹo vặt...)."
Sách Tâm Lý Tuổi Teen,"Sách giải mã tâm lý, cảm xúc, các vấn đề khủng hoảng và thay đổi thường gặp ở lứa tuổi vị thành niên."
Sách Tâm lý,"Sách nghiên cứu về hành vi, tinh thần, tư duy, cảm xúc và các quy luật tâm lý của con người."
Sách Tôn Giáo,"Sách về giáo lý, lịch sử, triết lý, nghi thức và thực hành của các tôn giáo và tín ngưỡng khác nhau."
Sách Văn Hóa,"Sách nghiên cứu về các giá trị vật chất và tinh thần, lối sống, nghệ thuật và phong tục do con người sáng tạo ra."
Sách Y Học,"Tài liệu chuyên ngành hoặc phổ thông về y khoa, cơ thể người, bệnh học, phương pháp chữa bệnh và chăm sóc sức khỏe."
Sách Y Học Cổ Truyền,"Sách về các phương pháp chữa bệnh truyền thống phương Đông, sử dụng thảo dược, châm cứu và các liệu pháp tự nhiên."
Sách Y Học Hiện Đại,"Sách về y học phương Tây, ứng dụng các thành tựu khoa học kỹ thuật, công nghệ và dược phẩm hiện đại trong điều trị."
Sách Y Học Khác,"Các chủ đề y học đặc thù, y học bổ trợ hoặc các phương pháp chăm sóc sức khỏe kết hợp."
Sách chuyên đề,"Sách đi sâu nghiên cứu, phân tích toàn diện về một chủ đề, vấn đề hoặc lĩnh vực cụ thể nào đó."
Sách chuyển động,"Sách dựng hình (Pop-up) hoặc sách có các chi tiết chuyển động, tương tác, thường dành cho thiếu nhi để tăng sự hứng thú."
Sách doanh nhân,"Câu chuyện thành công, bài học thất bại, triết lý kinh doanh và kinh nghiệm quản trị của các doanh nhân thành đạt."
Sách giáo dục,"Sách về phương pháp sư phạm, tâm lý học đường, chính sách giáo dục và các vấn đề liên quan đến dạy và học."
Sách hướng nghiệp,"Sách tư vấn, cung cấp thông tin giúp chọn nghề, định hướng tương lai và phát triển lộ trình sự nghiệp phù hợp."
Sách khoa học,"Sách giới thiệu các phát minh, khám phá, nguyên lý khoa học và ứng dụng của chúng trong đời sống."
Sách khác,Các ấn phẩm sách thuộc những thể loại chưa được phân nhóm cụ thể hoặc mang tính chất hỗn hợp.
Sách khởi nghiệp,"Sách hướng dẫn quy trình bắt đầu kinh doanh, xây dựng mô hình, gọi vốn và phát triển doanh nghiệp từ con số không."
Sách kinh tế,"Sách phân tích các hoạt động sản xuất, phân phối, tiêu dùng và các vấn đề vĩ mô, vi mô của nền kinh tế."
Sách kinh tế học,"Sách lý thuyết nền tảng về kinh tế, các quy luật thị trường, các học thuyết và mô hình kinh tế học."
Sách kỹ năng làm việc,"Sách rèn luyện các kỹ năng cần thiết trong môi trường công sở: quản lý thời gian, làm việc nhóm, giao tiếp, thuyết trình."
Sách kỹ năng mềm,"Sách phát triển trí tuệ cảm xúc (EQ), kỹ năng giao tiếp, lãnh đạo, giải quyết vấn đề và thích nghi xã hội."
Sách kỹ năng sống,"Sách hướng dẫn cách ứng xử, tư duy tích cực và các kỹ năng cần thiết để đối phó với những tình huống trong cuộc sống."
Sách kỹ thuật,"Sách chuyên khảo về máy móc, công nghệ, quy trình kỹ thuật, xây dựng và các ngành khoa học ứng dụng."
Sách quản trị nhân lực,"Sách về nghệ thuật tuyển dụng, đào tạo, đánh giá, đãi ngộ và phát triển nguồn nhân lực trong tổ chức."
Sách tham khảo cấp I,"Tài liệu bổ trợ, bài tập thực hành và kiến thức mở rộng dành cho học sinh tiểu học."
Sách tham khảo cấp II,"Tài liệu bổ trợ, bài tập nâng cao và kiến thức chuyên sâu dành cho học sinh trung học cơ sở."
Sách tham khảo cấp III,"Tài liệu ôn thi, bài tập chuyên đề và kiến thức nâng cao dành cho học sinh trung học phổ thông."
Sách thiếu nhi,"Các tác phẩm văn học, truyện kể, thơ ca và sách tranh được sáng tác hoặc biên soạn phù hợp với tâm lý trẻ em."
Sách tài chính,"Sách về quản lý tài chính cá nhân, đầu tư, thị trường chứng khoán, ngân hàng và tiền tệ."
Sách tâm lý học,"Sách nghiên cứu sâu về các hiện tượng tâm lý, rối loạn tâm thần, trị liệu và các trường phái tâm lý học."
Sách tư duy,"Sách rèn luyện tư duy logic, tư duy phản biện, tư duy sáng tạo và các phương pháp tối ưu hóa não bộ."
Sách văn học,"Các tác phẩm nghệ thuật ngôn từ bao gồm tiểu thuyết, truyện ngắn, thơ, kịch, tùy bút và văn học dân gian."
Sách Địa Danh,"Sách giới thiệu về lịch sử, văn hóa, địa lý và con người của các vùng đất, địa phương và danh lam thắng cảnh."
Tin Học Văn Phòng,"Sách hướng dẫn sử dụng các phần mềm văn phòng phổ biến (Word, Excel, PowerPoint) và kỹ năng máy tính cơ bản."
Tiểu Thuyết,"Tác phẩm văn xuôi hư cấu có quy mô lớn, cốt truyện phức tạp, khắc họa sâu sắc tính cách nhân vật và bức tranh xã hội."
Tranh Truyện,"Hình thức kể chuyện kết hợp giữa lời thoại và hình ảnh minh họa liên hoàn (truyện tranh, comics, manga)."
Triết Học,"Sách nghiên cứu về những vấn đề chung nhất của con người, thế giới, sự tồn tại, nhận thức và giá trị."
Truyện Giả tưởng,"Thể loại văn học hư cấu sử dụng các yếu tố phép thuật, siêu nhiên, thế giới kỳ ảo và sinh vật huyền bí."
Truyện kể cho bé,"Tuyển tập các câu chuyện ngắn, cổ tích, ngụ ngôn mang tính giáo dục và giải trí, thích hợp đọc cho trẻ nhỏ."
Truyện tranh Ehon,"Dòng sách tranh Nhật Bản dành cho trẻ em (đặc biệt là mầm non), giúp nuôi dưỡng tâm hồn, cảm xúc và trí tưởng tượng."
Truyện tranh thiếu nhi,"Truyện tranh với nội dung trong sáng, giáo dục, phù hợp với lứa tuổi và tâm lý của thiếu nhi."
Truyện đam mỹ,"Thể loại tiểu thuyết lãng mạn khai thác chủ đề tình cảm nam - nam, thường có nguồn gốc từ văn học mạng Trung Quốc."
Tác phẩm kinh điển,"Những tác phẩm văn học nghệ thuật có giá trị tư tưởng và nghệ thuật vượt thời gian, được công nhận rộng rãi qua nhiều thế hệ."
Tô màu,"Sách chứa các hình vẽ nét đen trắng để người đọc tự do tô màu, giúp thư giãn, giảm stress và kích thích sáng tạo."
Tôn Giáo,"Sách tìm hiểu về đức tin, tâm linh, các hệ thống giáo lý và thực hành tín ngưỡng của các tôn giáo trên thế giới."
Từ Điển,"Sách công cụ dùng để tra cứu nghĩa, cách dùng, phát âm của từ ngữ hoặc giải thích các thuật ngữ chuyên ngành."
Văn học thiếu nhi,"Văn học thiếu nhi bao gồm những câu chuyện, sách, tạp chí và những bài thơ được làm cho trẻ em. Văn học thiếu nhi hiện đại được phân loại theo hai cách khác nhau: thể loại hoặc nhắm tới độ tuổi của đối tượng độc giả. Văn học thiếu nhi có thể được truy nguyên từ những câu chuyện như truyện cổ tích chỉ được xác định là văn học thiếu nhi thế kỷ thứ mười tám và các bài hát, một phần rộng hơn của truyề..."
lãnh đạo,"Sách chia sẻ kiến thức, kỹ năng và nghệ thuật lãnh đạo, giúp phát triển tư duy quản lý, truyền cảm hứng và dẫn dắt tổ chức đi đến thành công."
Âm Nhạc,"Sách về lịch sử, lý thuyết âm nhạc, câu chuyện về các nhạc sĩ, nghệ sĩ nổi tiếng và hành trình khám phá thế giới giai điệu đầy cảm xúc."
Điện Ảnh,"Khám phá lịch sử điện ảnh, ngôn ngữ hình ảnh, kỹ thuật làm phim, biên kịch và những câu chuyện hậu trường của nền công nghiệp điện ảnh."
Đạo đức,"Sách bàn về các chuẩn mực hành vi, giá trị đạo đức, triết lý nhân sinh và cách rèn luyện phẩm hạnh trong đời sống cá nhân và xã hội."
Kiến thức,"Sách cung cấp tri thức nền tảng hoặc chuyên sâu về các lĩnh vực trong đời sống, xã hội và tự nhiên, giúp người đọc mở rộng hiểu biết và thế giới quan."
Light novel,"Dòng tiểu thuyết nhẹ của Nhật Bản, thường nhắm đến đối tượng thanh thiếu niên, có văn phong dễ đọc và thường đi kèm tranh minh họa phong cách anime."
Luật,"Sách chuyên khảo về hệ thống pháp luật, các bộ luật, văn bản quy phạm pháp luật và phân tích các vấn đề pháp lý trong đời sống."
Manga,"Truyện tranh có nguồn gốc từ Nhật Bản, nổi bật với phong cách vẽ đặc trưng và cách kể chuyện điện ảnh, đa dạng thể loại cho mọi lứa tuổi."
Phóng sự,"Thể loại ký sự báo chí ghi chép lại những sự kiện, con người và vấn đề nóng hổi của xã hội một cách chân thực, khách quan và sinh động."
Phật giáo,"Sách về giáo lý, triết học và thực hành tu tập của đạo Phật, lời dạy của Đức Phật và các vị thiền sư giúp chuyển hóa tâm thức."
Thơ,"Hình thức sáng tác văn học phản ánh cuộc sống, tâm trạng và cảm xúc thông qua ngôn ngữ cô đọng, giàu hình ảnh và có nhịp điệu."
Thể Dục,"Sách hướng dẫn các bài tập rèn luyện thân thể, phương pháp tập luyện thể thao và kiến thức giáo dục thể chất để nâng cao sức khỏe."
Thể dục,"Sách hướng dẫn các bài tập rèn luyện thân thể, phương pháp tập luyện thể thao và kiến thức giáo dục thể chất để nâng cao sức khỏe."
Tiểu sử,"Tác phẩm văn học hoặc tài liệu ghi chép lại chi tiết về cuộc đời, sự nghiệp và những thăng trầm của một nhân vật có thật."
Truyện Tranh,"Hình thức kể chuyện kết hợp giữa văn bản và hình ảnh minh họa liên hoàn, bao gồm cả comics phương Tây, manga và truyện tranh Việt Nam."
Truyện cổ tích,"Những câu chuyện dân gian lưu truyền qua nhiều thế hệ, thường có yếu tố kỳ ảo và mang bài học đạo đức sâu sắc."
Truyện dài,"Tác phẩm văn xuôi có dung lượng lớn, cốt truyện phát triển qua nhiều chương hồi nhưng quy mô và độ phức tạp thường nhỏ hơn tiểu thuyết."
Truyện kinh dị,"Thể loại truyện tập trung khai thác các yếu tố rùng rợn, siêu nhiên hoặc tâm lý nhằm gợi lên cảm giác sợ hãi và hồi hộp cho người đọc."
Truyện ngôn tình,"Tiểu thuyết lãng mạn (thường có nguồn gốc Trung Quốc) xoay quanh các câu chuyện tình cảm, mối quan hệ nam nữ với nhiều cung bậc cảm xúc."
Truyện ngắn,"Tác phẩm văn xuôi có dung lượng nhỏ, thường tập trung vào một tình huống, một lát cắt của cuộc sống với số lượng nhân vật hạn chế."
Truyện trinh thám,"Thể loại văn học tập trung vào quá trình điều tra, phá án, suy luận logic để tìm ra thủ phạm của các vụ án bí ẩn."
